system:index,LC_Type1,LC_Type2,Unnamed_ 0,datetime,google:max_source_file_timestamp,latitude,longitude,school_id,timestamp,.geo
2020_01_01_00000000000000000f93,9.0,9.0,3987,2020-01-01 00:00:00,1.640916859E12,13.59313942,122.3258838,108652,1577836800000,"{""type"":""Point"",""coordinates"":[122.32588600683118,13.593141487728628]}"
2020_01_01_00000000000000000a4f,12.0,12.0,2639,2020-01-01 00:00:00,1.640916859E12,13.972947,120.740662,107232,1577836800000,"{""type"":""Point"",""coordinates"":[120.74066220502802,13.972945419955881]}"
2020_01_01_00000000000000000efb,12.0,12.0,3835,2020-01-01 00:00:00,1.640916859E12,14.417523,121.443787,108487,1577836800000,"{""type"":""Point"",""coordinates"":[121.44378663643855,14.417522254085489]}"
2020_01_01_00000000000000000523,12.0,12.0,1315,2020-01-01 00:00:00,1.640916859E12,15.622522,120.918254,105804,1577836800000,"{""type"":""Point"",""coordinates"":[120.91825482268362,15.622522968162384]}"
2020_01_01_00000000000000000149,13.0,13.0,329,2020-01-01 00:00:00,1.640916859E12,14.9525238,120.8890522,104752,1577836800000,"{""type"":""Point"",""coordinates"":[120.8890521698846,14.952525198477923]}"
2020_01_01_0000000000000000032f,14.0,14.0,815,2020-01-01 00:00:00,1.640916859E12,15.788563,120.636198,105265,1577836800000,"{""type"":""Point"",""coordinates"":[120.63619884464894,15.788562054988494]}"
2020_01_01_0000000000000000088c,9.0,9.0,2188,2020-01-01 00:00:00,1.640916859E12,15.46987,120.662494,106738,1577836800000,"{""type"":""Point"",""coordinates"":[120.6624941635611,15.469870102698714]}"
2020_01_01_000000000000000000ad,9.0,9.0,173,2020-01-01 00:00:00,1.640916859E12,14.846721,120.360665,104591,1577836800000,"{""type"":""Point"",""coordinates"":[120.36066653145551,14.846719648681763]}"
2020_01_01_000000000000000005ea,11.0,11.0,1514,2020-01-01 00:00:00,1.640916859E12,14.93925123,120.6028525,106023,1577836800000,"{""type"":""Point"",""coordinates"":[120.6028536869713,14.939250454641817]}"
2020_01_01_00000000000000000469,8.0,8.0,1129,2020-01-01 00:00:00,1.640916859E12,15.774988,121.199461,105610,1577836800000,"{""type"":""Point"",""coordinates"":[121.19945911241705,15.774988551381805]}"
2020_01_01_000000000000000009b5,13.0,13.0,2485,2020-01-01 00:00:00,1.640916859E12,15.15354084,120.5920439,107050,1577836800000,"{""type"":""Point"",""coordinates"":[120.59204482601776,15.153541473967262]}"
2020_01_01_00000000000000000320,9.0,9.0,800,2020-01-01 00:00:00,1.640916859E12,16.072672,120.942895,105248,1577836800000,"{""type"":""Point"",""coordinates"":[120.94289581510495,16.072673678608798]}"
2020_01_01_0000000000000000150c,13.0,13.0,5388,2020-01-01 00:00:00,1.640916859E12,14.63527778,121.09,136674,1577836800000,"{""type"":""Point"",""coordinates"":[121.09000155885815,14.635277994929469]}"
2020_01_01_00000000000000000248,12.0,12.0,584,2020-01-01 00:00:00,1.640916859E12,14.9417629,120.8442899,105016,1577836800000,"{""type"":""Point"",""coordinates"":[120.84429171351013,14.941760928534908]}"
2020_01_01_00000000000000001559,13.0,13.0,5465,2020-01-01 00:00:00,1.640916859E12,14.495881,120.99121,136757,1577836800000,"{""type"":""Point"",""coordinates"":[120.99121017501906,14.495882036897694]}"
2020_01_01_00000000000000000489,9.0,9.0,1161,2020-01-01 00:00:00,1.640916859E12,15.706131,121.158894,105642,1577836800000,"{""type"":""Point"",""coordinates"":[121.15889467013386,15.706131112914491]}"
2020_01_01_00000000000000000263,12.0,12.0,611,2020-01-01 00:00:00,1.640916859E12,15.05628977,120.9195177,105046,1577836800000,"{""type"":""Point"",""coordinates"":[120.91951674828175,15.056288479991611]}"
2020_01_01_000000000000000010c1,12.0,12.0,4289,2020-01-01 00:00:00,1.640916859E12,13.96834729,121.6830558,108970,1577836800000,"{""type"":""Point"",""coordinates"":[121.68305753986539,13.968348086769781]}"
2020_01_01_00000000000000000b5f,12.0,12.0,2911,2020-01-01 00:00:00,1.640916859E12,13.863414,121.248367,107526,1577836800000,"{""type"":""Point"",""coordinates"":[121.24836653277127,13.863412061679039]}"
2020_01_01_00000000000000000833,12.0,12.0,2099,2020-01-01 00:00:00,1.640916859E12,15.45379397,120.4954612,106641,1577836800000,"{""type"":""Point"",""coordinates"":[120.49546069720007,15.453795043401044]}"
2020_01_01_0000000000000000055a,12.0,12.0,1370,2020-01-01 00:00:00,1.640916859E12,14.92844987,120.7689503,105873,1577836800000,"{""type"":""Point"",""coordinates"":[120.76895074211107,14.928450511890372]}"
