Savannas,Grasslands,Urban and built-up,Croplands,Forests,Waterbodies & Wetlands
0.0007544357462962358,0.014287079139031387,0.00889332430350348,0.017589836012879473,0.016874734306625762,0.001959587055477288
0.01444757267354755,0.010360842274484732,0.01580850736258973,0.0008324155397537849,0.000660517444349315,0.004332662280140028
0.008296173819271923,0.00550670206923112,0.004276157043140787,0.0006269700930415555,0.01617742854892028,0.0012344193588840506
0.004510367875429488,0.017960648538997998,0.006280724454626106,0.014050428942897906,0.01568020569497955,0.009054048465249317
0.014360102427831532,0.01788461100655658,0.013478814423187203,0.011765230177037575,0.01310307286464279,0.005191365226370389
0.0006568426312207621,0.004973566352655263,0.0038686520626439263,0.010741024059227429,0.0033171957123406585,0.004069177179388661
0.0049243219394231605,0.01780138502079286,0.012288259924590485,0.018351655115630885,0.01662292944967656,0.00897366883324795
0.007986216808906104,0.0009968665457860309,0.007442709352342851,0.0010285869750402024,0.0008771597341133942,0.0010720341583418717
0.014257830943910536,0.015791660955428152,0.0051916624254787795,0.0012603223529548753,0.011976105618876047,0.011504751737000512
0.006230753779355895,0.010040807886109763,0.013511605007454934,0.01714631611177979,0.01434516616426465,0.0006062241851306353
0.007947355134716592,0.018617978496653413,0.0004946083327992318,0.010079926370190421,0.012512532180484209,0.0027501674297728826
0.0007293520279675514,0.0011350997620962846,0.00853125089602561,0.00699951344236596,0.012942100768764269,0.0039466065787226775
0.003159807206086922,0.018676688151199765,0.01211915485599498,0.016692057125688834,0.0007515592299277017,0.008358689605212603
0.010853234029048989,0.01825531732115484,0.0012688776783786701,0.0014342256276107036,0.0003154644320181697,0.003716849238494706
0.0027623976845344463,0.0004688146219721345,0.010742815596383402,0.01184347276594858,0.014790968989309837,0.001884126923774761
0.0004045263881851828,0.008981052007763174,0.005572743435048755,0.008616667389308616,0.01184386278033438,0.004669981576054474
0.0005248392088254737,0.0066619932333087965,0.010919049339316395,0.016455878648856684,0.010301494162920947,0.0014136475943476775
0.008583882862553936,0.005442238687716276,0.002109736221304692,0.014992595728864331,0.013605823255565069,0.002323088098744877
0.004595332232146749,0.00543293964521233,0.006270191761427524,0.008064703317432146,0.0005980423414906773,0.006390305816150102
0.004298293052967733,0.011471132238609459,0.006885743786290794,0.005653115623529181,0.00021297274840658296,0.0032025946945440573
0.005783996156402545,0.00437235820635017,0.011687993042484123,0.014326274525906025,0.011519015470414765,0.0016052162712389003
0.0005487950110867765,0.014761019054114559,0.0013492322887712742,0.000555559726280593,0.011240919975385275,0.0023471436213925887
0.002218758101133012,0.004723308872632346,0.009003199443915965,0.009553414360647258,0.008580456041309931,0.0009190293609118853
0.008261385766476712,0.008043231565782084,0.005311299413528398,0.006723835433131668,0.003952212166749905,0.001665375923198429
0.0037336327319142984,0.0005074766436035394,0.004698231224363126,0.006462549617158084,0.011096762739904394,0.0031860851850665983
0.003340449348708631,0.0035532257984192874,0.009561974630317403,0.01374580854901259,0.00048424010951769405,0.00170227217543972
0.0020051616560520544,0.012282818298191629,0.003805203347214351,0.0012506844670487527,0.016210245396630043,0.003285309004653347
0.0032516454663846393,0.005177235244373027,0.00388068472028259,0.012259003058997,0.003398088196822679,0.0012939119599556011
0.00033705359777701504,0.008171242356821424,0.009737837225387477,0.006322424427483723,0.004888595511379852,0.001817171690893955
0.0017815771240347875,0.012222073644385168,0.003037331360952567,0.01174395309558362,0.0011580422225789574,0.004623788302061988
0.006636346012755695,0.003481822965676603,0.005652219588961077,0.0010224681383844525,0.01535222301744435,0.002717440245581455
0.003562175302048829,0.0063672014322600475,0.0034140881684983537,0.0005039613674081228,0.0003073821510535578,0.0012689392423369194
0.002402901039850651,0.0004444909709469099,0.008205218361792513,0.004817616726336974,0.0034079820235207382,0.0016673353851818647
0.004916275783451919,0.010413909363711905,0.004328594306590026,0.005773591591266767,0.008832632497383941,0.0006240677963840506
0.0005372764342665839,0.0034788186368344765,0.002920320957778992,0.012081695642821423,0.002969889880315354,0.0002539796255976776
0.0005655984776566495,0.00754723421516437,0.00028949752921816527,0.00503340865662751,0.011402704944349315,0.001288575552851776
